"","x"
"530","Cntnap5b"
"531","Cdh20"
"532","Rnf152"
"533","Gm17634"
"534","Gm28403"
"535","Pign"
"536","Gm28404"
"537","Relch"
"538","Tnfrsf11a"
"539","Gm7160"
"540","Zcchc2"
"541","Gm20753"
"542","Phlpp1"
"543","Bcl2"
"544","D630008O14Rik"
"545","Kdsr"
"546","Vps4b"
"547","Serpinb5"
"548","Serpinb11"
"549","Serpinb2"
"550","Serpinb8"
"551","Cdh19"
"552","Dsel"
"553","9330185C12Rik"
"554","Cntnap5a"
"555","B020011L13Rik"
"556","Tsn"
"557","Nifk"
"558","Clasp1"
"559","2900060B14Rik"
"560","Tfcp2l1"
"561","Gli2"
"562","Gm29455"
"563","Inhbb"
"564","Ralb"
"565","Gm27184"
"566","Tmem185b"
"567","3830432H09Rik"
"568","Epb41l5"
"569","Ptpn4"
"570","Tmem177"
"571","Tmem37"
"572","Dbi"
"573","3110009E18Rik"
"574","Steap3"
"575","Insig2"
"576","Ccdc93"
"577","Gm15392"
"578","Ddx18"
"579","Dpp10"
"580","Actr3"
"581","Slc35f5"
"582","Gpr39"
"583","Lypd1"
"584","Nckap5"
"585","Mgat5"
"586","Tmem163"
"587","2900009J06Rik"
"588","Ccnt2"
"589","Map3k19"
"590","Rab3gap1"
"591","Zranb3"
"592","R3hdm1"
"593","Ubxn4"
"594","Mcm6"
"595","Dars"
"596","Cxcr4"
"597","Thsd7b"
"598","Cd55b"
"599","Gm15674"
"600","Gm15675"
"601","Cd55"
"602","Gm16083"
"603","Pfkfb2"
"604","Yod1"
"605","AA986860"
"606","Gm28856"
"607","Gm15848"
"608","Pigr"
"609","Fcmr"
"610","Il24"
"611","Mapkapk2"
"612","Dyrk3"
"613","Eif2d"
"614","Rassf5"
"615","Ikbke"
"616","Srgap2"
"617","Gm29488"
"618","Fam72a"
"619","Ctse"
"620","Rab7b"
"621","Slc26a9"
"622","Pm20d1"
"623","Slc41a1"
"624","Rab29"
"625","Nucks1"
"626","Slc45a3"
"627","Elk4"
"628","Mfsd4a"
"629","Cdk18"
"630","Lemd1"
"631","Gm29695"
"632","Klhdc8a"
"633","Nuak2"
"634","Tmcc2"
"635","Dstyk"
"636","6030442K20Rik"
"637","Rbbp5"
"638","Tmem81"
"639","Cntn2"
"640","Nfasc"
"641","Lrrn2"
"642","Mdm4"
