"","name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"ITGAL-ITGB21","ITGAL-ITGB2",2.79224018542719,217.155207400996,"Late",0.66,5.85105927216914e-24
"TWEAK1","TWEAK",0.184964641410181,0.592560778773905,"Late",0.62,0.032201623269266
"DESMOSOME1","DESMOSOME",0.0158428643367787,0.241252423572669,"Late",0.59,3.72529029846192e-08
"CD231","CD23",0.288730579135283,0.804983635777227,"Late",0.59,0.02899169921875
"PTN1","PTN",4.05365782624092,222.473294112857,"Late",0.58,1.18499209858465e-14
"MIF1","MIF",8.17014930536787,240.200249819061,"Late",0.58,6.30754754265953e-26
"CCL1","CCL",1.05567826978106,186.13303491514,"Late",0.57,2.07068021928736e-11
"ICAM1","ICAM",2.17165886734676,214.496164045066,"Late",0.57,6.75091330699607e-29
"ICOS1","ICOS",0.189853401548064,0.601864669879127,"Late",0.47,0.0987396240234375
"COMPLEMENT1","COMPLEMENT",0.199710961047657,0.620777104579446,"Late",0.47,0.00023631751537323
"FASLG1","FASLG",0.0701563525535393,0.37636022421169,"Late",0.45,0.00354371350772959
"CD401","CD40",0.0557903483405355,0.346481810640308,"Late",0.39,0.0078125
"CD221","CD22",0.477593943429985,1.35319023036618,"Late",0.39,0.0001220703125
"MHC-II1","MHC-II",2.20222243709793,215.382511830376,"Late",0.38,5.94716150976606e-08
"LIFR1","LIFR",0.00609377234798565,0.196059672849631,"Late",0.36,9.31918621063234e-05
"CD451","CD45",0.477593943429985,1.35319023036618,"Late",0.36,7.45058059692384e-09
"IL161","IL16",0.39710645532358,1.08277737203916,"Late",0.28,7.9633735166478e-09
"BTLA1","BTLA",0.00353599252703421,0.177155411209715,"Late",0.11,0.03125
"TNF1","TNF",0.0135127588670923,0.232335479013185,"Late",0.08,2.48210717032439e-08
"ANGPT1","ANGPT",0.00632601500237188,0.197508049528334,"Late",0.03,1.14534011850669e-12
"CALCR1","CALCR",0,0,"Late",0,0
"LAIR11","LAIR1",0,0,"Late",0,0
"LIGHT1","LIGHT",0,0,"Late",0,0
"NRXN1","NRXN",0,0,"Late",0,0
"VEGF1","VEGF",0,0,"Late",0,0
"CSF31","CSF3",0,0,"Late",0,0
"VWF1","VWF",0,0,"Late",0,0
"CD1371","CD137",0,0,"Late",0,0
"IL21","IL2",0,0,"Late",0,0
"IFN-II1","IFN-II",0,0,"Late",0,0
"BST21","BST2",0,0,"Late",0,0
"CD391","CD39",0,0,"Late",0,0
"CD801","CD80",0,0,"Late",0,0
