"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ep400",2.80955911443923e-10,0.273921312985913,0.787,0.6,4.69477328022796e-06
"Zfp983",3.34624139082756e-10,0.255197773861245,0.462,0.267,5.59156936407285e-06
"Apol9b",3.55451985875678e-10,0.269055233591182,0.39,0.204,5.93960268398258e-06
"Pepd",3.69864285533789e-10,0.269498663630989,0.673,0.471,6.18043221126962e-06
"Ctla2a",3.7740062951431e-10,-0.350145209049991,0.93,0.912,6.30636451918413e-06
"Prelid2",5.20391774599922e-10,-0.33044258133644,0.468,0.51,8.6957465535647e-06
"Smad7",5.30329566316693e-10,-0.340529459780111,0.492,0.505,8.86180705315194e-06
"Glipr2",6.39909085189081e-10,-0.370159490101458,0.157,0.304,1.06928808135095e-05
"Ppp3cc",6.44971052320775e-10,0.267822433160844,0.93,0.805,1.07774662842801e-05
"4933406I18Rik",8.95390200330956e-10,0.308255861739114,0.584,0.385,1.49619702475303e-05
"Cd28",9.67379629120349e-10,-0.313763413208367,0.042,0.144,1.6164913602601e-05
"Maml2",1.0175147800208e-09,-0.358725702069895,0.624,0.615,1.70026719741475e-05
"Hivep2",1.22862748903876e-09,-0.460877506643764,0.438,0.512,2.05303653418376e-05
"Creb3l1",1.39994334868041e-09,0.261124232557774,0.247,0.099,2.33930533564496e-05
"Sh2d2a",1.48588717093328e-09,0.301270371708608,0.942,0.831,2.48291746262951e-05
"Ldlrad4",1.55216423412665e-09,-0.267563945923553,0.725,0.676,2.59366643522563e-05
"Epcam",1.63018357762869e-09,0.253142607099255,0.498,0.308,2.72403675821755e-05
"Aopep",1.72230967914882e-09,-0.293677720357904,0.667,0.635,2.87797947385767e-05
"Mfng",1.87389134746257e-09,-0.295033146729591,0.325,0.394,3.13127244160996e-05
"Chd3",1.94581141340286e-09,-0.392529117371655,0.233,0.37,3.25145087179617e-05
"Srbd1",2.00915648366635e-09,0.282648054237724,0.438,0.252,3.35730048420648e-05
"Gpcpd1",2.31533178043733e-09,0.250647626402413,0.452,0.265,3.86891940511078e-05
"Cd48",2.43434183507462e-09,0.300262187832808,0.821,0.669,4.06778520640969e-05
"Hipk2",2.45550747638386e-09,0.306397337165404,0.562,0.368,4.10315299303743e-05
"Atpif1",2.80933337571695e-09,0.258457878653932,0.745,0.562,4.69439607082302e-05
"Sesn1",3.52618158143812e-09,0.314950251708826,0.643,0.451,5.8922494225831e-05
"Pde4a",3.67002949361944e-09,0.253666928920756,0.492,0.304,6.13261928383809e-05
"Neat1",3.67903765815108e-09,0.25881669686761,0.627,0.435,6.14767192677045e-05
"Tnfsf11",3.69633034081877e-09,-0.256295055120325,0.03,0.127,6.17656799950817e-05
"Tagap",3.82435061502528e-09,-0.303871545439931,0.098,0.195,6.39048987770724e-05
