"__mclCluster","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name"
"16","0.9999968226077396",,"1.28624661126743E-4",,"IFI35|DYSF|TNF|CSF2|PRKCE|LBP|AGER|TRPV1|IL33|WNT5A|LRFN5|TLR2|JUND|C5AR1|PLCG2|CD200|LDLR|TMEM106A|HAMP|TLR6|JMJD6|ADGRF5|ULBP1|LGALS9|HMGB1|HAVCR2|IL4|VSIG4|IL13|HSPD1|AIF1|TLR1|TLR9|SYK|ATM|IL1RL1|RORA|TICAM1|SNCA|NR1D1|PLA2G10|IFNB1|PLA2G3|SUCNR1|GRN|SPHK1|PLA2G4A|CEBPA|APP|CASP1|EDN2|BPI|TTBK1|TLR3|TLR4|IFNGR1|NAMPT|TYROBP|IFNGR2|IL4RA|STAP1|CTSC|TREM2|C1QA|THBS1|TAFA3|NMI|JUN|CST7|SBNO2|SYT11|FER1L5|MIR7116|MYO18A|PJA2|MFHAS1|IL10|CRTC3|TNIP2|TREX1|LRRK2|NR1H3|CLU|CX3CR1|JAK2|MUC5B|CX3CL1|MMP8|SHPK|SLC11A1|FOXP1|SLC7A2|IFNG|KARS","macrophage activation","94","ENR","GO:0042116","1.0","3.1773922603746E-6","GO:0042116","false","GO:0042116"
"4","0.9999999999999983",,"7.59850325314588E-13",,"IL6|POLR3F|RNF125|POLR3C|CDK6|GPATCH3|IRF5|ZC3HAV1|DDIT4|ELMOD2|IRF1|ZBP1|NLRX1|OAS3|IKBKE|IFITM7|TBK1|OAS2|TLR2|POLR3B|NLRC5|CARD9|POLR3G|TRIM25|SPON2|MAVS|AIM2|MUL1|CD86|RNASEL|NPLOC4|IFNAR1|ITCH|DDX17|DDX58|TLR8|RNF216|SIN3A|PTPN22|DDX3X|DTX3L|SERINC3|LGALS9|GPAM|RNF26|AKAP1|ATAD3A|IL23R|IL23A|TRIM11|TRIM15|TRIM38|D1PAS1|OPRK1|IFI27L2B|TRIM6|SLFN9|OAS1A|OAS1F|SERINC5|RNASE6|TICAM2|TOMM70A|POLR3H|IL21|ILRUN|TGFB1|IFNAR2|GSDME|BST2|NLRP9B|PPM1B|MX2|STING1|ITGB6|GM49380|OAS1G|OAS1E|NLRP1A|NLRP1B|DCLK1|PYCARD|CREBZF|BAX|TTC4|ZCCHC3|CRCP|LGALS8|PHB2|DDX1|ATG7|APOBEC1|AUP1|AICDA|IRF3|NT5C3|TSPAN32|STAT2|CD37|BNIP3|BECN1|POU2AF1|OASL2|SPN|BCL3|PLSCR1|IL1B|HTRA1|NLRP3|MYD88|POLR3E|MST1R|IRGM1|SRC|BNIP3L|IRF2|TLR13|DHX36|IGTP|BCL2L1|IFIT1|SLFN8|NPC2|CCL5|FGL2|EXT1|SETD2|IFI27|GTF2F1|ACTA2|SELENOK|NDUFAF4|IFNK|SMPD1|IL27|KCNJ8|TLR9|POLR3K|IFNE|ILF3|SHFL|VWCE|TICAM1|IFNB1|ABCC9|RTP4|CCDC130|PUM1|WDFY4|RRP1B|IFIT2|CD8A|GATA3|TPT1|IFI204|IFI207|IFIT3B|STMN1|GBF1|GLI2|ZNFX1|IFI27L2A|PARP9|AP1S1|IFNA13|CLPB|PCBP2|USP15|PUM2|SEC14L1|ZC3H12A|IFITM6|GBP4|HSP90AA1|C1QBP|IFNA4|IFITM2|GM13288|IFNL3|MMP12|TNF|TKFC|TLR7|IFNA12|DDX60|OASL1|IL33|TREML4|IFIT1BL2|TSPAN6|ZMPSTE24|ARF1|SAMHD1|EIF2AK4|PSMA2|ITGB8|IFNA16|BATF3|MAPK11|IFIT3|ERCC6|ZDHHC1|IL4|ZDHHC11|TBX21|ARMC5|AGBL5|MAPK14|ATF2|CNOT7|CD40|APOB|SAP30BP|AGBL4|NCBP3|GM13290|TRIM5|EXOSC5|RPS15A|ISG20|PTPRC|TNFSF4|EXOSC4|GM13271|GM13287|NFKB1|HMGA2|GM13285|MX1|CXCL9|TLR3|ABCF3|PML|BCL2|CGAS|TRIM12A|HIF1A|CXCL10|IFNA9|IFNA1|TREX1|CCL19|FOXP3|RIPK3|OAS1B|CHUK|IFNA14|TGTP2|ODC1|TGTP1|IFNA15|IL12B|IFNG|HSPB1|TAGAP|IFIT1BL1|TRIM52|CD207|CFL1|HYAL2|APOBEC3|MLKL|URI1|CYP1A1|MARCHF2|MOV10|UNC13D|GM13289|GM13272|FADD|IFNZ|GM13279|GM13275|GM13276|OAS1D|LSM14A|IFNAB|GM13277|GM13283|IFNA11|CCT5|GM13278|HNRNPUL1|NOP53|STAT1|IVNS1ABP|IRAK3|IL12A|SMAD3|HYAL1|FMR1|FV1|PMAIP1|IFNA2|ITGAX|MAP3K14|TRAF3IP2|ZMYND11|TRAF3IP1|TRAF3|RNF135|POLR3D|OAS1C|DDX41|F2RL1|KLRA8|IFNA5|OAS1H|IFNA7|PLA2G10|IFNA6|UFD1|RSAD2|IL15|PRF1|CXADR|DHX58|G3BP1|DDX21|DUOX2|IFITM1|IFNGR1|IFITM3|PIM2|TARBP2|GM45717|IFNGR2|IFNL2|IFNLR1|ADAR|NMI|XPR1|IFI206|EIF2AK2|TRIM44|HYAL3|IL12RB1|EEF1G|RIOK3|ISG15|CLU|IL17RA|IRF7|PQBP1|PHB|IFIH1|SKP2|POU2F2|ANKRD17|LCN2|PENK","response to virus","351","ENR","GO:0009615","1.0","1.69357427633266E-15","GO:0009615","false","GO:0009615"
"1","0.9999989085296558",,"5.15480380102693E-5",,"NCKAP1L|IFI35|IL6|BLK|DYSF|MRGPRX2|MRGPRA9|MRGPRA2A|SLAMF6|CRHR1|ICAM1|LBP|H2-M3|ABR|ANXA1|IRF1|ENPP3|IRF8|ABL1|RARA|TRP53|CHGA|CD180|LCP1|RC3H1|FOXF1|RASGRP1|IL6RA|MS4A2|LGALS9|STXBP2|PI4K2A|ENTPD7|RABGEF1|IL23A|6030468B19RIK|HSPD1|IL18|ADORA2B|PRKCZ|VAMP2|RC3H2|APBB1IP|IL21|EXO1|PSEN1|SUCNR1|NPPC|PTGER4|TGFB1|PCK1|CDH17|SNX4|FER|CPLX2|RNF8|ERCC1|SNAP23|UNG|PYCARD|CLEC4E|STXBP3|SEMA4A|STAT3|KLRC1|STXBP1|D6WSU163E|LGALS8|PTPN6|CD19|LAT|ITGAL|STX4A|SCNN1B|CCR6|SPI1|SWAP70|DOCK11|CD40LG|FGR|OTUD5|AICDA|ITM2A|IL13RA2|MSH6|IRF4|MDK|AP1G1|KARS|BATF|PGLYRP1|NPPA|POU2AF1|PGLYRP3|KIT|PGLYRP4|RAB27A|SPN|PGLYRP2|BCL3|MALT1|NLRP3|PRAM1|MYD88|RAG2|KLRC3|NFKBIZ|TMEM98|H2-EA|MIR301|NFKBID|SOCS5|PLCG2|H2-DMB2|CD300A|CORO1A|CD84|NOTCH2|CLNK|HLX|FGL2|LEF1|MILR1|LAT2|SHB|HMGB1|IFNK|ST3GAL1|NBN|NKX2-3|IL27|IFNE|LYPD10|GAPT|XBP1|CD81|TICAM1|CCR7|IFNB1|ZFP683|RPS6|VAMP8|CD177|GATA2|KLRC2|PTGDS|RAC2|TLR4|GATA3|TCIM|FCER1G|CD46|LYPD11|IL10|MTOR|GBF1|RIPK2|ADA|IFNA13|LYN|MIR326|TNFSF18|LGALS1|ZC3H12A|IFNA4|GM13288|MFNG|LFNG|IFNA12|PRKCE|IL33|CCR2|EIF2AK4|SMAD7|GPR183|IFNA16|APLF|LIG4|HAVCR2|IL4|TBX21|SUPT6|STAT6|PAXIP1|IL27RA|DNASE1|ATAD5|CD40|TNFSFM13|GATA1|TFRC|DNASE1L3|PARP3|GM13290|THOC1|NDFIP1|LAMP1|CD28|PTPRC|TNFSF4|GM13271|IL2|CRACR2A|GM13287|EXOSC3|ZBTB7B|MAD2L2|SLC15A4|RORC|GM49339|TAC4|HMCES|HMOX1|PTAFR|PAGR1A|GM13285|NR4A3|TYROBP|IL4RA|SPHK2|IFNA9|CCL3|SBNO2|FER1L5|RIF1|IFNA1|PLD2|TREX1|CCL19|FOXP3|CLCF1|SHLD2|ITGB2L|CEACAM1|TRP53BP1|PTK2B|SHLD1|IFNA14|KMT5B|FCER1A|IFNA15|IL12B|FOXP1|TNFAIP3|FES|IFNG|CLEC7A|NSD2|BTK|KMT5C|MIR181B-1|MIR181B-2|DLL1|TNFSF13|TSC1|GM42742|EXOSC6|UNC13D|GM13289|LILRB4A|SHLD3|SLAMF1|GM13272|EOMES|MLH1|IFNZ|GM13279|GM13275|PDPK1|GM13276|IFNAB|GM13277|GM13283|IFNA11|GM13278|ZFP35|ANXA3|MYB|ATP7A|RNF168|IL13|BCL6|SYK|RORA|IL18R1|CBL|F2RL1|DOCK2|PLA2G3|YWHAZ|GRN|RELB|CD244A|CLEC4D|APP|CD160|PLCL2|TREM2|NMI|LOXL3|ICOSL|ITFG2|MRGPRB2|CD74|MRGPRB8|MRGPRA6|CX3CR1|MSH2|PTGDR|LY9|SLC11A1|MRGPRA4|MRGPRB3|MRGPRB1|BCR|MRGPRB4|MRGPRB5","cell activation involved in immune response","317","ENR","GO:0002263","1.0","1.09147034419961E-6","GO:0002263","false","GO:0002263"
"10","0.9999998030243635",,"1.11633350204005E-5",,"IFITM2|OASL2|GM7879|IFNL3|APOBEC3|TNF|PLSCR1|NR5A2|PPIH|ZC3HAV1|OASL1|MIR24-2|N4BP1|LTF|OAS3|IFITM7|OAS2|MIR24-1|OAS1D|STAU1|MAVS|RNASEL|PROX1|CCL5|DDX3X|PARP10|SLPI|CNOT7|TRIM38|D1PAS1|ILF3|SHFL|TMEM39A|RAD23A|OAS1C|OAS1H|TRIM6|FAM111A|TASOR|PDE12|OAS1A|LARP1|OAS1F|IFNB1|PKN2|SRPK1|ADARB1|MIR378A|BANF1|RSAD2|ISG20|MIR93|PPID|HACD3|FKBP6|BST2|VAPB|MX2|TOP2A|HMGA2|IFITM1|IFITM3|OAS1G|TARBP2|OAS1E|GM45717|BCL2|ADAR|PPARA|IFI204|IFI206|IFI207|DDB1|EIF2AK2|PPIE|SRPK2|ISG15|PPIA|NOTCH1|ZNFX1|TOP2B|RESF1|MORC2A|MORC2B|AICDA|ZFP809|IFIH1|INPP5K|MPHOSPH8|IFITM6|TRIM28","regulation of viral genome replication","91","ENR","GO:0045069","1.0","1.96975636504095E-7","GO:0045069","false","GO:0045069"
"2","0.9999999675955422",,"2.24233451891947E-6",,"TDRD9|TDRD1|MAEL|TDRKH|PLD6|MORC1|DNMT3A|TDRD5|DNMT3L|DDX4|CTCFL|TDRD12|PIWIL2|DNMT3C|FKBP6|PRMT7|KDM1B|ASZ1","DNA methylation involved in gamete generation","18","ENR","GO:0043046","1.0","3.24044577995416E-8","GO:0043046","false","GO:0043046"
"1","0.9999977332458653",,"9.68587639788178E-5",,"TNFAIP8L2|CDK6|SLAMF6|CD48|CD83|ICAM1|H2-M3|CD274|PDCD1LG2|IRF1|SART1|VSIR|ITK|GIMAP3|RARA|HS1BP3|TRP53|PRELID1|SFTPD|LCP1|RC3H1|DROSHA|PRDM1|CBLB|RABL3|WWP1|CD86|IFNAR1|LMBR1L|EGR1|JMJD6|TNFRSF21|CRIP3|H2-OA|TCF7|BTNL2|B2M|CD5|LGALS9|GPAM|ENTPD7|ADRM1|IL23A|CD151|HSPD1|ICOS|IL18|CTLA4|TCIRG1|ZAP70|NHEJ1|IGFBP2|CD55|RAB29|MR1|IL2RA|RC3H2|APBB1IP|IL36B|PAG1|IL21|PSEN1|CD2|PTGER4|TGFB1|GPR89|SHH|BCL10|PCK1|JAG2|TNFSF8|SLC46A2|STOML2|STK11|SIT1|TNFRSF1B|CTPS|DDOST|RPL22|TNFRSF4|CCR9|DTX1|LAG3|ZFP608|CLEC4E|BAX|CLEC4B1|SOCS1|CLEC4A2|STAT3|STAT5A|PSAP|PTPN6|RHOA|LAT|ITGAL|CCR6|ZP3|SASH3|ELF4|CD40LG|OTUD5|CHD7|IL2RG|IRF4|CD209A|TNFSF13B|IDO1|JAK3|BATF|KIT|CD3E|FKBP1A|CD3D|VTCN1|RAB27A|SPN|ATG5|BCL3|MALT1|NLRP3|RAG2|AMBRA1|TMEM131L|VAV1|PRR7|FOXN1|SOS2|ZNHIT1|TESPA1|NFKBIZ|TMEM98|KAT2A|IHH|H2-EA|HFE|CARD11|H2-AA|MIR301|CTNNB1|NFKBID|ARG2|GLMN|SOCS5|VNN1|H2-DMB2|H2-DMA|CDH26|ADK|ZMIZ1|HLX|FGL2|IL7|NCAPH2|PLA2G2D|TOX|SLC7A1|H2-OB|SHB|HMGB1|TNFRSF14|SELENOK|IFNK|FZD5|NCK2|CLEC4A3|VSIG4|NKX2-3|IL20RB|CTLA2A|IL27|IFNE|DUXBL1|JAML|DUSP22|IFNB1|CLEC4A1|THEMIS|ZFP683|NLRC3|LGALS3|GPR18|SOX13|WDFY4|RUNX3|SOX12|RASAL3|TARM1|CD8A|SCART2|TXK|GATA3|CD47|SOCS6|GNRH1|FCER1G|CD46|WNT1|CLEC4A4|DHPS|HSPH1|HSH2D|NRARP|BTNL1|ADA|MAD1L1|IGF2|IFNA13|MIR326|TNFSF18|FOXO3|H2-EB2|TNFRSF13C|LGALS1|CD59B|HSP90AA1|FCHO1|ITGAD|IFNA4|GM13288|IL1RL2|TREML2|TIGIT|PSMB11|H2-AB1|IFNA12|IL4I1|CLEC4G|MAFB|SIRPB1C|CD80|GJA1|ARG1|IGF1|RIPOR2|EIF2AK4|TRAJ18|IFNA16|GM5150|GM9733|PRNP|SKINT1|LRRC32|BTNL6|HAVCR2|PATZ1|ATF2|PDE5A|GM13290|TNFSF14|GM13271|GM13287|CEBPB|SIRPB1B|GM13285|STAT5B|IL4RA|BCL2|ZFP36L1|IFNA9|LEPR|PAX1|IFNA1|BRAF|CCDC88B|GLI3|TREX1|DUSP3|LEP|SIRPB1A|SOX4|CD44|PRDX2|RUNX2|IFNA14|CTSL|IFNA15|SDC4|DLG5|EFNB2|AP3B1|TSC1|GM13289|SLAMF1|CXCL12|GM13272|AGER|IL7R|EFNB3|BMP4|FADD|CCND3|IFNZ|GM13279|ERBB2|GM13275|GM13276|CDKN2A|BCL2A1D|IFNAB|GM13277|GM13283|IFNA11|GM13278|ADAM17|ZFP35|CYP26B1|SRF|MYB|TCF3|MINK1|MYH9|BCL6|HES1|AIF1|SYK|IL18R1|F2RL1|ADORA2A|PRKDC|TNFSF11|DLG1|ZBTB16|RSAD2|IL15|CXADR|IL6ST|TWSG1|GPNMB|GIMAP5|CD4|CD276|CD74|WASHC1|DPP4|FAS|RAG1|BTN2A2|ADAM8|NCKAP1L|SOS1|IL6|SLFN1|ANXA1|XCL1|ABL1|PRKCQ|BAD|MAPK8IP1|RASGRP1|ITCH|PTPN22|IL6RA|GBA|LAPTM5|PRKCZ|SPTA1|P2RX7|CD27|RPS3|PYCARD|BCL11A|SEMA4A|CYRIB|LGALS8|SPI1|ITGAV|SP3|DNAJA3|MDK|RHOH|CSK|IL1B|IL1A|ZBTB32|EPHB4|CAV1|EPHB6|PLA2G2F|CD300A|CORO1A|NKAP|VCAM1|CCL5|LEF1|MSN|EFNB1|CYLD|FZD8|PSMB10|THY1|XBP1|CD81|PPP3CB|SIRPA|CCR7|RPS6|ITPKB|RAC2|DUSP10|SCRIB|MTOR|RIPK2|SH2B3|ZC3H12A|SATB1|ZEB1|LFNG|EPO|PTPN2|SCGB1A1|ZFP36L2|PIK3R6|AZI2|CD24A|CCR2|PREX1|SMAD7|GPR183|LAX1|CHRNA7|FZD7|LIG4|BMI1|IL4|TBX21|ARMC5|STAT6|IL27RA|TRAF6|DLL4|TFRC|ZC3H8|NDFIP1|SLA2|CD28|PTPRC|TNFSF4|IL2|CRACR2A|LCK|ZBTB7B|RORC|BCL11B|GM49339|BLM|SLC4A1|CASP3|WAS|CGAS|FYN|FKBP1B|PRKAR1A|CCL19|FOXP3|RIPK3|GM13304|CEACAM1|IL12B|FOXP1|IFNG|HSPB1|PKNOX1|CCL21D|CCL21A|CCL21B|GM10591|LILR4B|LILRB4A|TGFBR2|EOMES|CBFB|FANCA|NEDD4|IL12A|SMAD3|NCK1|ZBTB1|ATP7A|FOXJ1|FANCD2|TRAF3IP2|PELI1|ZFP609|RORA|CD59A|CLEC2I|PAWR|EGR3|FLOT2|DOCK2|GSN|CRTAM|LMO1|DOCK8|CD6|RELB|CD244A|CLEC4D|TNFSF9|CD160|CCL2|AP3D1|MARCHF7|LOXL3|BTN1A1|AIRE|ICOSL|IL12RB1|CD3G|KDELR1|FUT7|CLPTM1|EBI3|NCSTN|LY9|WNT4|SLC11A1","T cell activation","518","ENR","GO:0042110","1.0","2.26675413471973E-6","GO:0042110","false","GO:0042110"
"11","0.9999943112518935",,"2.21943621778936E-4",,"NCKAP1L|KLRH1|DYSF|TNF|LBP|SIRPB1C|ABR|SFTPA1|PPARG|SFTPD|CNN2|IL15RA|TUB|GM5150|GM9733|MFGE8|NOD2|TULP1|CYBA|C2|POT1B|RAP1GAP|PTPRC|SPHK1|TGFB1|ATG3|SYT7|SIRPB1B|SIGLECE|CD209B|SCARB1|PYCARD|CALR|FER1L5|RAP1A|RACK1|TGM2|GAS6|SIRPB1A|CD36|ITGAV|ATG7|FGR|LMAN2|IL2RG|IFNG|CLEC7A|RAB27A|ATG5|PLSCR1|CSK|IL1B|AGER|HCK|PROS1|ALOX15|SNX3|MBL2|PLCG2|PTX3|CD300A|MBL1|ANO6|DNM2|PRKCG|PIP4P2|ABCA7|APPL2|HMGB1|LYAR|SYK|FCGR1|APOA1|F2RL1|CAMK1D|CD300LF|SIRPA|CCR7|PTEN|DOCK2|IL15|APOA2|MERTK|PTK2|AHSG|GATA2|ADIPOQ|SOD1|ITGA2|RAPGEF1|STAP1|CCL2|CD47|HSPA8|TREM2|SYT11|MYO18A|FCER1G|APPL1|PRTN3|C3|SLC11A1|IL2RB|BCR","regulation of phagocytosis","104","ENR","GO:0050764","1.0","5.68874810651805E-6","GO:0050764","false","GO:0050764"
"11","0.9999906115508128",,"3.43859934855218E-4",,"NCKAP1L|RAB27A|KLRH1|TNF|IL1B|LBP|AGER|SIRPB1C|ABR|SFTPA1|PROS1|PPARG|SFTPD|MBL2|PLCG2|PTX3|MBL1|ANO6|IL15RA|TUB|DNM2|GM5150|GM9733|MFGE8|ABCA7|APPL2|LYAR|NOD2|TULP1|FCGR1|APOA1|CYBA|F2RL1|C2|CAMK1D|CD300LF|SIRPA|CCR7|DOCK2|RAP1GAP|IL15|APOA2|PTPRC|MERTK|PTK2|AHSG|GATA2|SIRPB1B|SOD1|CD209B|ITGA2|RAPGEF1|STAP1|CCL2|CD47|HSPA8|TREM2|PYCARD|CALR|MYO18A|FCER1G|RAP1A|GAS6|SIRPB1A|CD36|LMAN2|IL2RG|C3|SLC11A1|IL2RB|IFNG|CLEC7A|BCR","positive regulation of phagocytosis","73","ENR","GO:0050766","1.0","9.38844918716883E-6","GO:0050766","false","GO:0050766"
"1","0.999999897892346",,"6.39241405996161E-6",,"PVR|IL12A|MR1|CYRIB|H2-M3|P2RX7|STX7|PTPRC|B2M|H2-K1|FADD|NECTIN2|XCL1|H2-T23|TAP2|H2-EA|H2-D1|IL12B|IL23A|SLC22A13|HSPA8","positive regulation of T cell mediated cytotoxicity","21","ENR","GO:0001916","1.0","1.02107654003844E-7","GO:0001916","false","GO:0001916"
"1","0.9999999916331803",,"6.930301131691E-7",,"NCKAP1L|PPP3CB|MR1|AGER|H2-M3|P2RX7|IL7R|STX7|PTPRC|FADD|NECTIN2|XCL1|TAP2|H2-EA|KLRD1|HSPA8|PVR|IL12A|CYRIB|RIPK3|B2M|H2-K1|CEACAM1|H2-T23|H2-D1|IL12B|IL23A|SLC22A13","regulation of T cell mediated cytotoxicity","28","ENR","GO:0001914","1.0","8.3668197169375E-9","GO:0001914","false","GO:0001914"
"1","0.9999999905083735",,"7.74286625619605E-7",,"NCKAP1L|RAB27A|PPP3CB|GFUS|MR1|GZMB|CTSH|AGER|H2-M3|P2RX7|IL7R|STX7|PTPRC|PRF1|SERPINB9B|FADD|NECTIN2|XCL1|TAP2|H2-EA|KLRD1|HSPA8|CTSC|PVR|IL12A|SERPINB9|RAET1E|CYRIB|GZMM|RIPK3|B2M|H2-K1|CEACAM1|H2-T23|H2-D1|IL12B|IL23A|HPRT|EMP2|SLC22A13","T cell mediated cytotoxicity","40","ENR","GO:0001913","1.0","9.49162653991343E-9","GO:0001913","false","GO:0001913"
"1","0.9999999998456283",,"2.18720369628095E-8",,"SH2D1A|SLAMF6|SH2D1B2|H2-M3|KLRC3|STX7|CD226|VAV1|FADD|NECTIN2|XCL1|TAP2|GIMAP3|H2-EA|ARG1|CXCL1|KLRD1|RASGRP1|PVR|IL12A|RAET1E|B2M|H2-K1|ULBP1|H2-T23|H2-D1|IL23A|SLC22A13|F2RL1|MR1|P2RX7|LAMP1|CRTAM|PTPRC|IL21|KLRE1|KLRK1|CD160|KLRC2|STAT5B|POMC|TYROBP|GIMAP5|STAP1|CCL2|HSPA8|LAG3|KLRC1|STAT5A|CYRIB|SPI1|IL18RAP|IL12B|CADM1|AP1G1","positive regulation of leukocyte mediated cytotoxicity","55","ENR","GO:0001912","1.0","1.54371731906902E-10","GO:0001912","false","GO:0001912"
"6","0.9999999829933877",,"1.25079550292228E-6",,"NCKAP1L|KLRB1B|PPP3CB|SH2D1B2|GFER|IL7R|PTPRC|KLRE1|SERPINB9B|SERPINB9C|TAP2|CLEC2D|CLEC12B|KLRD1|TAP1|CRK|SERPINB9F|SERPINB9|SERPINB9D|SERPINB9G|IGF2|SERPINB9E|CEACAM1|LGALS9|CX3CR1|HAVCR2|SERPINB9H|ARRB2","negative regulation of leukocyte mediated cytotoxicity","28","ENR","GO:0001911","1.0","1.70066122990284E-8","GO:0001911","false","GO:0001911"
"1","1.0",,"2.86396273549077E-15",,"NCKAP1L|SH2D1A|SLAMF6|SH2D1B2|AGER|H2-M3|KLRC3|IL7R|STX7|CD226|VAV1|PIK3R6|SERPINB9B|SERPINB9C|FADD|NECTIN2|XCL1|TAP2|GIMAP3|H2-EA|ARG1|CXCL1|CLEC2D|CLEC12B|KLRD1|TAP1|RASGRP1|SERPINB9F|PVR|IL12A|SERPINB9|RAET1E|SERPINB9D|SERPINB9G|B2M|H2-K1|ULBP1|SERPINB9E|LGALS9|H2-T23|HAVCR2|SERPINB9H|H2-D1|IL23A|SLC22A13|DNASE1|F2RL1|KLRB1B|PPP3CB|DNASE1L3|MR1|GFER|P2RX7|LAMP1|CRTAM|PTPRC|IL21|KLRE1|KLRK1|CD160|KLRC2|STAT5B|POMC|TYROBP|GIMAP5|STAP1|CCL2|HSPA8|CXCL5|CRK|LAG3|KLRC1|STAT5A|CYRIB|RIPK3|SPI1|LEP|IGF2|CEACAM1|CX3CR1|IL18RAP|IL12B|CADM1|AP1G1|ARRB2","regulation of leukocyte mediated cytotoxicity","85","ENR","GO:0001910","1.0","2.65969793414819E-18","GO:0001910","false","GO:0001910"
