"__mclCluster","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
,"Tumor_late_early","CTSE|TREM2|H2-OA|CD74|MARCHF8|PIKFYVE|TRAF6|PYCARD|IFI30|H2-EA|MARCHF1|H2-AA|H2-DMB2|H2-DMA|CTSS|H2-OB|FCER1G|H2-EB1|B2M|H2-EB2|H2-AB1|H2-DMB1","22","0.9583333333333333","Geneset_Overlap","GO:0002495 (Geneset_Overlap_Tumor_late_early) GO:0002504","false","Geneset_Overlap","GO:0002495 (Geneset_Overlap_Tumor_late_early) GO:0002504"
,"Tumor_late_early","H2-OA|H2-EA|H2-AA|H2-DMB2|H2-DMA|H2-OB|B2M|H2-EB2|H2-AB1","9","0.5549999999999999","Geneset_Overlap","GO:0002495 (Geneset_Overlap_Tumor_late_early) GO:0002396","false","Geneset_Overlap","GO:0002495 (Geneset_Overlap_Tumor_late_early) GO:0002396"
,"Tumor_late_early","OAS1C|OAS1H|AXL|IRF3|DNAJA3|PIAS4|CAV1|HIPK1|PPP2CB|CSF1|NOL3|TTLL12|NKIRAS2|MED1|CDC37|ARG1|TBK1|IRAK3|RFFL|PAFAH1B1|HIF1A|EDN1|RIPK1|SYK|F2RL1|IL6ST|NKIRAS1|WNT5A|METTL3|ANGPT1|SHARPIN|ADIPOQ|ROBO1|PARP9|GPS2|PRKN|HSP90AB1|TREM2|TSLP|PTPN2|CD74|PELI3|RABGEF1|SIGIRR|IRF7|IL6|XIAP|CASP1|IL1R1|IL1R2|PTPRC|CCDC3|TRAF2|IL1RN|IL36RN|TRIM44|ZBP1|SAMHD1|ADAR|ECM1|LAPTM5|PADI2|UBE2K|STAP1|GFI1|USP18|TNFRSF1A|PYCARD|HPX|FADD|IRAK1|GAS6|SLIT2|CNOT7|APOA1|TRAIP|OAS1D|OAS3|PTPRF|PARP14|CACTIN|CCL5|ISG15|CYLD|OTUD4|MAVS|SOCS1|BIRC7|YTHDF2|STAT2|IL7|C1QTNF4|RIPK2|MUL1|IKBKE|SH2B3|DCST1|CXCR4|OTULIN|IRGM1|SPATA2|CD24A|YTHDF3|NR1H4|CD300LF|PALM3|CREBRF|MMP12|TREX1|OTOP1|TRIM32|ADAM17|OAS1A|OAS1F|TXK|TICAM2|SLIT3|IRAK2|SPHK1|VRK2|LSM14A|OAS1G|OAS1E|TRIM6|NLRC5|CPNE1|IGTP","127","0.9601449275362319","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0001959","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0001959"
"0","Tumor_late_early","DNAJA3|MED1|CDC37|ARG1|PARP9|HSP90AB1|PTPN2|HPX|PARP14|SOCS1|IRGM1|OTOP1|TXK|NLRC5|IGTP","15","0.5543478260869565","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060330","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060330"
,"Tumor_late_early","AXL|IRF3|CSF1|MED1|TBK1|PAFAH1B1|HIF1A|EDN1|RIPK1|WNT5A|PARP9|PRKN|TREM2|TSLP|CD74|IRF7|CASP1|IL1R1|TRAF2|TRIM44|ZBP1|LAPTM5|UBE2K|GFI1|HPX|FADD|GAS6|PARP14|MAVS|IL7|C1QTNF4|RIPK2|IKBKE|CXCR4|IRGM1|CD300LF|CREBRF|MMP12|TRIM32|ADAM17|TXK|TICAM2|LSM14A|TRIM6|NLRC5|CPNE1|IGTP","47","0.6702898550724637","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0001961","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0001961"
"0","Tumor_late_early","DNAJA3|MED1|CDC37|ARG1|PARP9|HSP90AB1|PTPN2|HPX|PARP14|SOCS1|IRGM1|OTOP1|TXK|NLRC5|IGTP","15","0.5543478260869565","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060334","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060334"
,"Tumor_late_early","OAS1C|OAS1H|IRF3|TTLL12|CDC37|TBK1|WNT5A|METTL3|HSP90AB1|PTPN2|IRF7|ZBP1|SAMHD1|ADAR|UBE2K|USP18|FADD|IRAK1|CNOT7|OAS1D|OAS3|CACTIN|ISG15|MAVS|YTHDF2|STAT2|MUL1|IKBKE|DCST1|YTHDF3|MMP12|TREX1|OAS1A|OAS1F|LSM14A|OAS1G|OAS1E|TRIM6|NLRC5","39","0.48856209150326796","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060337","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060337"
,"Tumor_late_early","OAS1C|OAS1H|TTLL12|METTL3|PTPN2|SAMHD1|ADAR|USP18|CNOT7|OAS1D|OAS3|CACTIN|ISG15|YTHDF2|STAT2|MUL1|DCST1|YTHDF3|MMP12|TREX1|OAS1A|OAS1F|OAS1G|OAS1E|NLRC5","25","0.5905797101449275","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060339","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060339"
,"Tumor_late_early","IRF3|TBK1|WNT5A|IRF7|ZBP1|UBE2K|FADD|MAVS|IKBKE|MMP12|LSM14A|TRIM6|NLRC5","13","0.5471014492753623","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060340","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060340"
,"Tumor_late_early","OAS1C|OAS1H|IRF3|TTLL12|CDC37|TBK1|WNT5A|METTL3|HSP90AB1|PTPN2|IRF7|ZBP1|SAMHD1|ADAR|UBE2K|USP18|FADD|IRAK1|CNOT7|OAS1D|OAS3|CACTIN|ISG15|MAVS|YTHDF2|STAT2|MUL1|IKBKE|DCST1|YTHDF3|MMP12|TREX1|OAS1A|OAS1F|LSM14A|OAS1G|OAS1E|TRIM6|NLRC5","39","0.4740207373271889","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0071357","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0071357"
,"Tumor_late_early","OAS1C|OAS1H|AXL|IRF3|DNAJA3|PIAS4|CAV1|HIPK1|PPP2CB|CSF1|NOL3|TTLL12|NKIRAS2|MED1|CDC37|ARG1|TBK1|IRAK3|RFFL|PAFAH1B1|HIF1A|EDN1|RIPK1|SYK|F2RL1|IL6ST|NKIRAS1|WNT5A|METTL3|ANGPT1|SHARPIN|ADIPOQ|ROBO1|PARP9|GPS2|PRKN|HSP90AB1|TREM2|TSLP|PTPN2|CD74|PELI3|RABGEF1|SIGIRR|IRF7|IL6|XIAP|CASP1|IL1R1|IL1R2|PTPRC|CCDC3|TRAF2|IL1RN|IL36RN|TRIM44|ZBP1|SAMHD1|ADAR|ECM1|LAPTM5|PADI2|UBE2K|STAP1|GFI1|USP18|TNFRSF1A|PYCARD|HPX|FADD|IRAK1|GAS6|SLIT2|CNOT7|APOA1|TRAIP|OAS1D|OAS3|PTPRF|PARP14|CACTIN|CCL5|ISG15|CYLD|OTUD4|MAVS|SOCS1|BIRC7|YTHDF2|STAT2|IL7|C1QTNF4|RIPK2|MUL1|IKBKE|SH2B3|DCST1|CXCR4|OTULIN|IRGM1|SPATA2|CD24A|YTHDF3|NR1H4|CD300LF|PALM3|CREBRF|MMP12|TREX1|OTOP1|TRIM32|ADAM17|OAS1A|OAS1F|TXK|TICAM2|SLIT3|IRAK2|SPHK1|VRK2|LSM14A|OAS1G|OAS1E|TRIM6|NLRC5|CPNE1|IGTP","127","0.6031629455542499","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0019221","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0019221"
,"Tumor_late_early","OAS1C|OAS1H|DNAJA3|PIAS4|CAV1|PPP2CB|NOL3|TTLL12|ARG1|IRAK3|RFFL|F2RL1|IL6ST|METTL3|ADIPOQ|ROBO1|GPS2|TREM2|PTPN2|PELI3|RABGEF1|SIGIRR|IL6|XIAP|IL1R2|PTPRC|CCDC3|IL1RN|IL36RN|SAMHD1|ADAR|ECM1|PADI2|STAP1|USP18|GAS6|SLIT2|CNOT7|APOA1|TRAIP|OAS1D|OAS3|PTPRF|PARP14|CACTIN|CCL5|ISG15|OTUD4|BIRC7|YTHDF2|STAT2|MUL1|SH2B3|DCST1|YTHDF3|NR1H4|PALM3|MMP12|TREX1|OTOP1|OAS1A|OAS1F|SLIT3|OAS1G|OAS1E|NLRC5","66","0.7391304347826086","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0001960","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0001960"
"0","Tumor_late_early","DNAJA3|MED1|CDC37|ARG1|PARP9|HSP90AB1|PTPN2|HPX|PARP14|SOCS1|IRGM1|OTOP1|TXK|NLRC5|IGTP","15","0.40922619047619047","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060333","false","Geneset_Overlap","GO:0060759 (Geneset_Overlap_Tumor_late_early) GO:0060333"
