"","x"
"724","Gas5"
"725","Dars2"
"726","Cenpl"
"727","Klhl20"
"728","Prdx6"
"729","Fasl"
"730","Suco"
"731","Pigc"
"732","Gm38304"
"733","Dnm3"
"734","2810442N19Rik"
"735","Eef1aknmt"
"736","Vamp4"
"737","Prrc2c"
"738","Fmo2"
"739","Prrx1"
"740","Gorab"
"741","Kifap3"
"742","Scyl3"
"743","BC055324"
"744","Mettl18"
"745","Sell"
"746","F5"
"747","Slc19a2"
"748","Ccdc181"
"749","Blzf1"
"750","Nme7"
"751","Atp1b1"
"752","Dpt"
"753","Gm32569"
"754","Gm20743"
"755","Xcl1"
"756","Sft2d2"
"757","Tiprl"
"758","Gm38190"
"759","Gpr161"
"760","Dcaf6"
"761","Gm37864"
"762","Mpc2"
"763","Adcy10"
"764","Mpzl1"
"765","Rcsd1"
"766","Creg1"
"767","Cd247"
"768","Pou2f1"
"769","Gpa33"
"770","Gm15853"
"771","Tada1"
"772","Pogk"
"773","Uck2"
"774","Gm37982"
"775","Tmco1"
"776","Aldh9a1"
"777","Mgst3"
"778","Lmx1a"
"779","Pbx1"
"780","Nuf2"
"781","Hsd17b7"
"782","3110045C21Rik"
"783","Ddr2"
"784","Uap1"
"785","Uhmk1"
"786","Sh2d1b1"
"787","Gm7694"
"788","Nos1ap"
"789","Olfml2b"
"790","Atf6"
"791","Gm9929"
"792","Dusp12"
"793","Gm26620"
"794","Fcrla"
"795","Fcgr2b"
"796","Fcgr3"
"797","Cfap126"
"798","Sdhc"
"799","Tomm40l"
"800","Fcer1g"
"801","Ndufs2"
"802","Adamts4"
"803","B4galt3"
"804","Ppox"
"805","Usp21"
"806","Ufc1"
"807","Gm20045"
"808","Dedd"
"809","Nit1"
"810","Pfdn2"
"811","Klhdc9"
"812","Nectin4"
"813","Arhgap30"
"814","Usf1"
"815","Tstd1"
"816","F11r"
"817","B930036N10Rik"
"818","Alyref2"
"819","Cd244a"
"820","Ly9"
"821","Slamf7"
"822","Cd48"
"823","Cd84"
"824","Slamf6"
"825","Vangl2"
"826","Ncstn"
"827","Copa"
"828","Gm37756"
"829","Pex19"
"830","Dcaf8"
"831","Pea15a"
"832","Igsf8"
"833","Pigm"
"834","Slamf9"
"835","Igsf9"
"836","Tagln2"
"837","Cfap45"
"838","4933439K11Rik"
"839","Fcrl6"
"840","Dusp23"
"841","Aim2"
"842","Ifi214"
"843","Ifi209"
"844","Ifi208"
"845","Ifi207"
"846","Ifi204"
"847","Mndal"
"848","Ifi211"
"849","Ifi203"
"850","Ifi202b"
"851","Ifi205"
"852","Rgs7"
"853","Fh1"
"854","Kmo"
"855","Opn3"
"856","Chml"
"857","Exo1"
"858","Cep170"
"859","Sdccag8"
"860","Akt3"
"861","Gm26801"
"862","Zbtb18"
"863","1700016C15Rik"
"864","Adss"
"865","Catspere1"
"866","Catspere2"
"867","Desi2"
"868","B230369F24Rik"
"869","Cox20"
"870","Hnrnpu"
"871","Efcab2"
"872","Kif26b"
"873","Smyd3"
"874","Tfb2m"
"875","Cnst"
"876","Sccpdh"
"877","Kif28"
"878","Ahctf1"
"879","Cdc42bpa"
"880","Coq8a"
