"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Mall",216.928077151974,0.646401721518883,0.148451315426343,4.35430106942775,1.33492139596806e-05,3.55143490841043e-05,"NONE"
"Esp31",6.50023969937992,6.16249441466803,1.41527648691317,4.35426891611046,1.33511732467267e-05,3.55148319507135e-05,"UP"
"Fbxo39",11.8474510939963,3.78363516806214,0.869138873189869,4.35331485539892,1.34094346608252e-05,3.56650614058455e-05,"UP"
"B3gnt3",2566.97272914677,-0.451070864987171,0.103628371095648,-4.35277386123186,1.34425791031257e-05,3.57484561692149e-05,"NONE"
"Tagln2",24166.1873802722,-0.214586522714653,0.049302865231062,-4.35241484869034,1.34646174182649e-05,3.58021070398332e-05,"NONE"
"Ift80",2555.46299413385,0.271980173422214,0.0624898895968653,4.35238684492503,1.34663379034543e-05,3.58021070398332e-05,"NONE"
"Gnat1",13.8086831556488,3.47676214789971,0.798854221227668,4.35218598777218,1.34786842402655e-05,3.58301630163384e-05,"UP"
"Commd9",556.893524653176,-0.469755284674645,0.107944820047372,-4.351809419558,1.3501860332416e-05,3.58869962560769e-05,"NONE"
"Gm6061",2155.39071017999,-0.43844059082015,0.100786111471458,-4.35020842077345,1.36008197144563e-05,3.61404064160274e-05,"NONE"
"Gm6634",70.9678028150132,-1.12784094323053,0.259260385832808,-4.35022473490362,1.35998078411183e-05,3.61404064160274e-05,"DOWN"
"Fam109a",542.771842086058,-0.479825139854403,0.110322331133741,-4.34930203997161,1.36571503641477e-05,3.62852630435669e-05,"NONE"
"Mapkapk5",1890.83456140723,-0.28989133157919,0.0666785426306701,-4.34759549537378,1.3763814892377e-05,3.65637938969435e-05,"NONE"
"Ephb6",376.244524937843,-0.541667256296888,0.124607243158279,-4.34699655146733,1.38014388412088e-05,3.66588676679734e-05,"NONE"
"Hddc2",1522.78607452061,-0.309920366947254,0.0713042796146526,-4.34644832851754,1.38359626160367e-05,3.674568268819e-05,"NONE"
"Gm14251",6.52558856811269,6.16696289159495,1.41933599365289,4.34496336256737,1.39298910398507e-05,3.69902210957196e-05,"UP"
"Gm15892",12.0493498302479,3.50935151432601,0.807697366830813,4.34488418365874,1.39349163772316e-05,3.69986475901057e-05,"UP"
"Rnmt",2402.53191825401,-0.323969935202477,0.0745726769582355,-4.34435169041761,1.39687576732662e-05,3.70786436405578e-05,"NONE"
"Zfhx2",439.378041791927,-0.804243037971481,0.185122916693828,-4.34437319989727,1.39673891734004e-05,3.70786436405578e-05,"NONE"
"Rnasel",160.361513425719,0.728257401497602,0.16766311249403,4.34357558239613,1.40182217187136e-05,3.72049973793996e-05,"NONE"
"A530072M11Rik",18.2858864737914,2.48513361071934,0.572400426121709,4.34159986140704,1.41448962990111e-05,3.75362105958216e-05,"UP"
"Dync2h1",730.87306332264,-0.465499175673643,0.107219957410187,-4.341534793684,1.41490866693656e-05,3.75423435242285e-05,"NONE"
"Caml",1018.45778497854,0.353235036509402,0.0813768311682846,4.34073226295729,1.42008672088415e-05,3.76747309735758e-05,"NONE"
"Gm3912",74.9305545796118,1.08462204934607,0.249879799222538,4.34057515941946,1.42110249052914e-05,3.76966730225742e-05,"UP"
"Pglyrp2",18.1059861510706,2.36571303457705,0.545082880286355,4.34009784591701,1.42419286427616e-05,3.77736336293745e-05,"UP"
"Efcab2",254.675792542823,-0.615071513893247,0.141722526760839,-4.33996999595695,1.42502171850205e-05,3.77905998546602e-05,"NONE"
"Kcnk13",9.82610936165204,5.77668439807964,1.33125370820796,4.33928135746251,1.42949409593101e-05,3.79041724905942e-05,"UP"
"Gm8357",9.58073386357755,5.75178638655137,1.32575738079389,4.33849094100993,1.43464397252e-05,3.80356770259218e-05,"UP"
"Zfp1",743.516491287541,0.437299403874113,0.100816390749833,4.33758241712135,1.44058522231078e-05,3.81881249815586e-05,"NONE"
"2310033P09Rik",987.190170726478,-0.351357931248574,0.0810072645544682,-4.33736323749491,1.44202204643817e-05,3.82160711351755e-05,"NONE"
"Mfsd2a",727.456781028523,-0.429514878904746,0.0990265289214222,-4.33737184957344,1.44196556448317e-05,3.82160711351755e-05,"NONE"
"Diexf",1634.44790135243,-0.310282818618588,0.0715572747513827,-4.33614639037929,1.45002393220703e-05,3.84230376624218e-05,"NONE"
"Ccdc126",470.311299188998,0.462183837684753,0.106609191721095,4.33530946275151,1.45555205681109e-05,3.85644077439192e-05,"NONE"
"Bex2",6.28682601990473,6.12161413084628,1.41219254912762,4.33482964814388,1.45873041501037e-05,3.86434922432862e-05,"UP"
"Akap10",2268.3040404032,0.351813832670092,0.0811632326468562,4.33464539541993,1.45995268830621e-05,3.86707436413328e-05,"NONE"
"Cd320",501.289961171526,-0.45786256847934,0.105629597512524,-4.33460487648885,1.46022160882793e-05,3.86727390687467e-05,"NONE"
"Ly96",96.9771871124421,0.983939249914478,0.227006038912255,4.33441883145144,1.46145697958595e-05,3.87003261945765e-05,"NONE"
"Gm595",16.5473164939673,2.92262290157011,0.674674678516115,4.33189949858226,1.47828421569686e-05,3.91407339655086e-05,"UP"
"RP23-72G21.1",16.9274122788636,3.06457667784634,0.707682565726362,4.33043970032083,1.48811893478189e-05,3.93959077128782e-05,"UP"
"RP24-277E17.1",9.92974416139411,5.79626790104965,1.33864990213627,4.32993562528914,1.49152937559321e-05,3.94809624171533e-05,"UP"
"Snx2",4044.05705716362,-0.216364565896554,0.0499703228438257,-4.32986127731788,1.49203302489859e-05,3.94890616565966e-05,"NONE"
"Cfap54",26.6965684548374,1.89604362683054,0.437967537425519,4.32918758768275,1.4966041427707e-05,3.9604796608995e-05,"UP"
"Fam212a",15.7383675975086,2.79973188544909,0.64675323007712,4.32890282606743,1.49854031913985e-05,3.96507813979561e-05,"UP"
"Sash1",1848.59880729435,-0.392325749239583,0.0906757822328018,-4.32668723201441,1.51368657547821e-05,4.00462411843838e-05,"NONE"
"Fgf5",6.29036692977574,6.12399564110881,1.41597674511349,4.32492670677158,1.52582584520507e-05,4.03567097969835e-05,"UP"
"Fsip2",6.29036692977574,6.12399564110881,1.41597674511349,4.32492670677158,1.52582584520507e-05,4.03567097969835e-05,"UP"
"Kif18a",2144.31529631038,-0.290049307646082,0.0670697675605956,-4.32459091771909,1.52815171172723e-05,4.04128762843193e-05,"NONE"
"Wbp2nl",6.47901305378586,6.16997214840316,1.42689360747801,4.32405900206421,1.53184298255284e-05,4.05051320482569e-05,"UP"
"Hacd2",1244.77879190733,0.32818732564449,0.0759038962966892,4.32372172782394,1.53418792613296e-05,4.05617683964507e-05,"NONE"
"Phka2",845.588675010102,-0.378848649609725,0.0876219125155871,-4.32367473766715,1.53451490288046e-05,4.0565044614057e-05,"NONE"
"Rasgrp4",13.3763344679385,3.44405355886969,0.796575600541248,4.32357400418688,1.53521607156286e-05,4.05782104546325e-05,"UP"
"Rnf39",557.626805320816,0.522832447938015,0.120957415695356,4.32245054949606,1.5430567546021e-05,4.0780056603633e-05,"NONE"
"Stat3",3321.5983039862,0.239958198327098,0.0555184512735411,4.32213422425666,1.54527129323829e-05,4.08331807209275e-05,"NONE"
"Polr2i",434.240432655652,0.473484708178474,0.109559730289663,4.32170384982362,1.54828913670582e-05,4.09075149900437e-05,"NONE"
"Ociad2",192.589949561336,-0.690421981635978,0.159799030368802,-4.32056427402935,1.5563071555212e-05,4.1113922303421e-05,"NONE"
"Hdlbp",48624.1478620268,-0.27333230347053,0.0632663952951158,-4.3203394502805,1.55789367638172e-05,4.11503926657116e-05,"NONE"
"Nup153",8358.87373235464,-0.260295714395033,0.0602559494795923,-4.31983425110894,1.56146435823567e-05,4.12392563253226e-05,"NONE"
"Ackr2",10.6760049868846,3.94113548151987,0.912811982146418,4.3175764107002,1.57751804902896e-05,4.16577370329827e-05,"UP"
"Grm4",10.6160475321644,4.38475817835839,1.01565034534272,4.31719262289898,1.58026245379236e-05,4.17246934171424e-05,"UP"
"Mark4",1010.4165543935,-0.417984368079272,0.0968314116672,-4.31661958534533,1.58436862564589e-05,4.18275829714919e-05,"NONE"
"Efemp1",9.71468572794184,5.75807376061294,1.33415551694956,4.31589397747148,1.58958265355815e-05,4.19596890461564e-05,"UP"
"Gba2",395.763123977826,-0.563993679713599,0.130679408954796,-4.31585728941192,1.58984671827724e-05,4.19611149306705e-05,"NONE"
"Gm8975",6.3469573453155,6.14550128215136,1.42416558774221,4.31515923081253,1.59487901493612e-05,4.20883726306194e-05,"UP"
"Tyro3",991.745686699091,-0.345864728143571,0.0801630007131941,-4.31451823243245,1.59951333468734e-05,4.22050956109483e-05,"NONE"
"Noxred1",11.1256904878399,4.01051722316337,0.929570369241567,4.31437721754787,1.6005345717626e-05,4.22264647914705e-05,"UP"
"B230369F24Rik",32.782888475196,1.81669470844706,0.421116477555713,4.31399578328471,1.60330005360389e-05,4.2293840183342e-05,"UP"
"Gm14027",11.0494765122875,4.42315902662641,1.02541608305632,4.31352608927578,1.60671169568938e-05,4.23782407509728e-05,"UP"
"Fopnl",1508.14086155951,-0.392162090522053,0.0909516759833214,-4.31176321142193,1.61957826046768e-05,4.27119668770467e-05,"NONE"
"Zfp335",2308.29993308005,0.462044870857392,0.107166219009344,4.31147870223085,1.62166396523102e-05,4.27613266016632e-05,"NONE"
"Cib2",311.489469037724,0.526704565759893,0.12217859568212,4.31093975846844,1.62562192135149e-05,4.28598932792008e-05,"NONE"
"Gpatch1",655.18777335895,-0.416853977742228,0.0966974143670428,-4.31091131516649,1.6258310620703e-05,4.28598932792008e-05,"NONE"
"Thrap3",16222.2658668916,-0.274399055880565,0.0636669891802218,-4.30991098234322,1.63320274093626e-05,4.30428643214824e-05,"NONE"
"Tram1l1",6.20429216479831,6.09959476743065,1.4152471457351,4.30991490483624,1.63317377308187e-05,4.30428643214824e-05,"UP"
"Rph3al",453.346686693981,-0.472259964339835,0.109592433997838,-4.30923875957669,1.63817438788587e-05,4.31681964738109e-05,"NONE"
"Mid2",893.945218233,-0.398307873033124,0.0924445894939216,-4.30861205846247,1.64282235417018e-05,4.32849672504058e-05,"NONE"
