"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Ccnb1ip1",40.260989396861,6.92978773846746,1.09396973230188,6.33453333657244,2.38060696227314e-10,3.40199444821764e-09,"UP"
"Cdc42se1",3864.33848546822,0.398713349803699,0.0629571817678547,6.33308764159577,2.40302969922711e-10,3.43132931657776e-09,"NONE"
"Itm2b",9117.00477374605,0.343142308990949,0.054217759934235,6.32896507356949,2.46810962613514e-10,3.52148092126107e-09,"NONE"
"Sgca",25.275563560447,8.12228466283745,1.28338995640425,6.3287737466749,2.47117139805705e-10,3.52307317584417e-09,"UP"
"Fancl",892.329519538328,-0.601973177310968,0.0951803511630739,-6.3245530191373,2.53966643441306e-10,3.61787572474295e-09,"NONE"
"Gm10715",24.5787273839861,8.08210173993406,1.2780271431457,6.3238889590725,2.55061044206128e-10,3.6306094861605e-09,"UP"
"Mfsd11",3590.57641383183,0.386127602545642,0.0610698614979794,6.32271947363787,2.56999617820315e-10,3.65532999234456e-09,"NONE"
"Bnip3l",6088.46901175917,-0.367262435165723,0.0580913455567386,-6.32215404284297,2.57942045922214e-10,3.66585453961351e-09,"NONE"
"Mvp",1537.71540505356,0.552236470899553,0.087363088459051,6.32116470056342,2.59599151655871e-10,3.68651156069113e-09,"NONE"
"Nsmaf",2402.77104313934,0.443907255719189,0.0702623650966084,6.31785245356929,2.65223048230623e-10,3.76342359816901e-09,"NONE"
"Cggbp1",9879.20704865436,-0.374236048806519,0.0592384891511455,-6.31744756102177,2.65918627973248e-10,3.77033882387129e-09,"NONE"
"Vwa8",3901.93870311744,-0.387787709534051,0.0614094183042222,-6.31479209936415,2.70524903316351e-10,3.83264780864307e-09,"NONE"
"Slc35b1",5256.35273301266,0.394850344479543,0.0625623517408982,6.31130917384332,2.76684815740553e-10,3.91392726766497e-09,"NONE"
"Atp1a3",63.2156530367337,2.9296187047819,0.464185969150751,6.31130387275981,2.76694294853152e-10,3.91392726766497e-09,"UP"
"Tdp1",1230.58799473842,-0.564477767440477,0.0895302351980347,-6.30488422365798,2.88409402891833e-10,4.07645640028066e-09,"NONE"
"Stub1",5854.91490103563,-0.353544250164114,0.0560958468971929,-6.30250312134615,2.92876640413795e-10,4.13636852678017e-09,"NONE"
"Timp3",27.8598989763184,5.37373627847136,0.852977543740974,6.29997391830893,2.97695732791268e-10,4.20115271856485e-09,"UP"
"Foxd2os",857.032707225451,-0.63506876106533,0.100865034775778,-6.29622309135253,3.04985350463722e-10,4.3006734855889e-09,"NONE"
"Nlrp4c",27.6950477366978,4.55833091078445,0.72450638216617,6.29163665495354,3.14136093138475e-10,4.42626311468111e-09,"UP"
"Pcdhgb5",44.9649303844118,2.85111683010414,0.453264174496513,6.29018790922792,3.17081913539853e-10,4.46429636590402e-09,"UP"
"Cenpi",2289.54227170857,-0.515673571433226,0.0819899189151584,-6.28947531911619,3.1854074468655e-10,4.48135098935095e-09,"NONE"
"Bcas3",2288.24361233214,-0.442016968609647,0.070290006278707,-6.28847530411371,3.2059905592198e-10,4.5068062938846e-09,"NONE"
"Atp8a1",1432.36994105123,-0.556322590701467,0.0885263847120804,-6.28425742800666,3.29424453928274e-10,4.62727630940677e-09,"NONE"
"Hspb1",24.2947136311278,8.06395286739037,1.28343095076668,6.28312170792921,3.31841064911682e-10,4.6576080010007e-09,"UP"
"Nav2",7960.4759999926,0.42720597063668,0.0680129248387719,6.28124686078997,3.35868330199776e-10,4.71048178667478e-09,"NONE"
"Wwp2",2349.51105088769,-0.430333197774182,0.0685138404760822,-6.2809673897117,3.36472720426819e-10,4.71530578641484e-09,"NONE"
"Tyr",298.256769875779,1.12637836671123,0.179383051221499,6.27917943775188,3.40364588908211e-10,4.76615719007894e-09,"UP"
"Hnrnpl",16336.0144769557,-0.336300367446876,0.0535884895708759,-6.27560825356138,3.48270062605801e-10,4.87308945404995e-09,"NONE"
"Tmem56",13985.6463323405,-0.408526288549764,0.0651004930298466,-6.27531788987324,3.4892065965022e-10,4.87842275183544e-09,"NONE"
"Supt3",1051.38964111977,-0.558544070556957,0.0890712337147812,-6.27075709252546,3.59296764014329e-10,5.01961976021871e-09,"NONE"
"Osmr",41.4840853297984,7.86959497565879,1.25516429736195,6.26977280360728,3.61575290515379e-10,5.04755760221392e-09,"UP"
"Kank2",3426.44959983309,0.437081017037215,0.0697292641389963,6.26825798944258,3.65109514999698e-10,5.09296831940256e-09,"NONE"
"Tet3",6676.78795839427,-0.368844486719149,0.0588792450597011,-6.26442282582184,3.74208828608867e-10,5.21587763725339e-09,"NONE"
"Pfkp",4671.58677237839,-0.446873245075513,0.0713934592322438,-6.25930232098474,3.86703569408408e-10,5.38588832900664e-09,"NONE"
