Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000086194,Gm16329,0,0,0,0,0,0
ENSMUSG00000086195,Gm6152,0,0,0,0,0,0
ENSMUSG00000086196,Gm13571,0,0,0,0,2,2
ENSMUSG00000086197,Gm13976,0,0,0,0,0,0
ENSMUSG00000086199,Bcas3os1,0,0,0,0,0,1
ENSMUSG00000086201,Gm6270,0,0,0,0,0,0
ENSMUSG00000086202,1700019E08Rik,0,0,0,1,3,1
ENSMUSG00000086203,Gm13985,1,0,0,0,2,0
ENSMUSG00000086204,Gm15668,0,0,0,0,0,0
ENSMUSG00000086205,Gm12679,0,2,0,0,0,0
ENSMUSG00000086206,Gm13783,0,0,0,1,2,1
ENSMUSG00000086207,Gm14717,0,0,0,0,0,0
ENSMUSG00000086209,4933405E24Rik,2,2,2,1,7,3
ENSMUSG00000086211,Gm12462,0,0,0,0,1,0
ENSMUSG00000086212,Mkln1os,6,3,3,6,8,11
ENSMUSG00000086213,A330040F15Rik,11,7,13,9,19,13
ENSMUSG00000086214,Gm14062,0,0,1,1,0,0
ENSMUSG00000086216,Gm13610,18.9,9.27,10.08,0,0,7.95
ENSMUSG00000086219,Srrm4os,0,6,3,2,9,6
ENSMUSG00000086220,Gm16599,0,0,0,0,0,0
ENSMUSG00000086221,4930412B13Rik,1,0,1,1,1,2
ENSMUSG00000086222,Gm11665,0,0,0,0,0,0
ENSMUSG00000086224,2700069I18Rik,0,0,0,0,0,0
ENSMUSG00000086225,Gm8661,0,0,0,0,0,0
ENSMUSG00000086226,Gm12660,0,0,0,0,0,0
ENSMUSG00000086227,Gm11820,0,0,0,0,0,0
ENSMUSG00000086228,Ubap1l,1,2,3,5,3,1
ENSMUSG00000086229,Gm4887,0,0,0,0,0,0
ENSMUSG00000086231,Rapgef4os3,3,4,2,18,11,10
ENSMUSG00000086232,Gm7546,0,0,0,0,0,0
ENSMUSG00000086233,Gm11816,1,0,0,1,2,2
ENSMUSG00000086234,Usp46os2,0,0,3.09,2.02,0,0
ENSMUSG00000086235,Gm16284,0,0,0,0,0,0
ENSMUSG00000086236,5830418P13Rik,0,0,0,2,2,4
ENSMUSG00000086237,Gm15591,10.17,2.33,3,0,2,3.02
ENSMUSG00000086238,Gm14258,0,0,0,0,0,0
ENSMUSG00000086239,Gm14329,0,0,0,0,0,0
ENSMUSG00000086240,Gm7846,56,51.61,76,28.17,44.31,39.89
ENSMUSG00000086241,4930483K19Rik,4,9,3.02,1,2,2
ENSMUSG00000086243,Gm12121,0,0,0,0,0,0
ENSMUSG00000086244,4930558G05Rik,0,0,0,0,0,0
ENSMUSG00000086245,Gm16170,16.24,12,11.05,12.14,13.14,15.09
ENSMUSG00000086246,Gm15274,0,0,0,0,0,0
ENSMUSG00000086247,Gm15787,9,18,10,5,23,15
ENSMUSG00000086248,Gm16127,0,0,0,0,0,0
ENSMUSG00000086249,Gm12724,0,0,0,0,0,0
