Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000044062,Plekhd1os,0,0,0,0,0,0
ENSMUSG00000044065,Gm9788,0,0,0,5.15,0,6.76
ENSMUSG00000044066,Cep68,2293,2444,2614,2341,2293,2118
ENSMUSG00000044067,Gpr22,2,4,0,5,0,1
ENSMUSG00000044068,Zrsr1,4,3,11,23,61,44
ENSMUSG00000044071,Fam19a2,0,0,1,4,0,5
ENSMUSG00000044072,Eml6,1091.19,880.02,994.22,709.44,628.77,547.37
ENSMUSG00000044080,S100a1,1675,1268,1814,2336,2602,2158
ENSMUSG00000044081,Zfp85os,26,16,36.39,26,27,24
ENSMUSG00000044083,Efcab8,8,11,5,18,27,23
ENSMUSG00000044084,4933402P03Rik,0,0,0,0,0,0
ENSMUSG00000044086,Lmod3,0,0,0,4,0,1
ENSMUSG00000044092,C130050O18Rik,11,10,14,13,13,19
ENSMUSG00000044098,Rsbn1,1186.05,1030.14,1306.78,1097.27,901.39,838.09
ENSMUSG00000044103,Il1f9,7.44,3,6.96,4.61,1,7
ENSMUSG00000044106,Olfr868,0,0,0,0,0,0
ENSMUSG00000044107,Olfr964-ps1,0,0,0,0,0,0
ENSMUSG00000044117,2900011O08Rik,0,0,0,0,0,0
ENSMUSG00000044120,Olfr683,0,0,0,0,0,0
ENSMUSG00000044121,5430402E10Rik,0,0,0,0,0,0
ENSMUSG00000044122,Proca1,2,8,2,14,4,0
ENSMUSG00000044125,9530080O11Rik,6.09,9,6,7.05,1,3
ENSMUSG00000044134,Fam109a,499,491,648,697,695,650
ENSMUSG00000044139,Prss53,15.2,7,25.47,26,35.36,27
ENSMUSG00000044141,E130201H02Rik,0,0,0,0,0,0
ENSMUSG00000044145,1810024B03Rik,66,38,46,31,36,35
ENSMUSG00000044147,Arf6,7189.98,6470.99,8430.96,7113,7318.96,6501
ENSMUSG00000044148,1810030O07Rik,2673,2487,3070.98,2856,2635,2353
ENSMUSG00000044149,Nkrf,1017,882,1142,1500,1324,1319
ENSMUSG00000044150,A830080D01Rik,1672,1461,1703,1300,1090,1004
ENSMUSG00000044155,Lsm8,4690,4239,5198,4035,3481,3272
ENSMUSG00000044156,Hepacam2,33,9,19,14,38,15
ENSMUSG00000044162,Tnip3,0,0,0,3,4,0
ENSMUSG00000044164,Rnf182,0,0,0,0,0,1
ENSMUSG00000044165,Bcl2l15,1,3.65,9,0,0,4
ENSMUSG00000044167,Foxo1,1704,1464,1704,1862,1902,1617
ENSMUSG00000044170,Olfr1384,0,0,0,0,0,0
ENSMUSG00000044172,Ptx4,0,0,4,0,2,2
ENSMUSG00000044176,Spink10,0,0,0,0,8,2
ENSMUSG00000044177,Wfikkn2,3,0,3,43,82,72
ENSMUSG00000044186,Nkx2-6,0,0,0,0,0,0
ENSMUSG00000044197,Gpr146,1963,1695,1974,1444,1277,1239
ENSMUSG00000044199,S1pr4,5,2,1,2,0,11
ENSMUSG00000044201,Cdc25c,2080,1708,2108,1575,1444,1253
ENSMUSG00000044205,Olfr983,0,0,0,0,0,0
ENSMUSG00000044206,Vsig4,0,0,0,0,0,0
ENSMUSG00000044211,Gm7887,1419.98,588.67,825.61,541.05,1118.09,954.56
ENSMUSG00000044213,Olfr1094,0,0,0,0,0,0
ENSMUSG00000044216,Kcnj4,12,4,14,66,18,50
ENSMUSG00000044217,Aqp5,0,0,0,2,0,0
ENSMUSG00000044220,Nkx2-3,0,0,0,0,0,0
ENSMUSG00000044221,Grsf1,5567,4934,6046,6164,5774,5203
ENSMUSG00000044222,Defb13,0,0,0,0,0,0
ENSMUSG00000044224,Dnajc21,2823,2374,3059,2489,2404,2165
ENSMUSG00000044227,Gm9789,0,0,0,0,0,0
ENSMUSG00000044229,Nxpe4,356,331,402,251,224,227
ENSMUSG00000044231,Nhlrc1,0,0,0,4,0,7
ENSMUSG00000044243,Bhlha9,0,0,0,0,0,0
ENSMUSG00000044244,Il20rb,61,92,81,112,89,123
ENSMUSG00000044248,Vmn1r45,0,0,0,0,0,0
ENSMUSG00000044249,Defb29,0,0,0,0,0,0
ENSMUSG00000044250,Pced1b,0,0,0,2,0,3
ENSMUSG00000044252,Osbpl1a,4299,3705,4571,3842,3622,3287
ENSMUSG00000044254,Pcsk9,2,0,1,0,0,1
ENSMUSG00000044258,Ctla2a,15.24,14.18,15.22,21.38,22.65,3.71
ENSMUSG00000044265,E030002O03Rik,0,0,0,0,0,0
ENSMUSG00000044268,Gm4895,0,0,1.08,12.03,1.18,0
ENSMUSG00000044276,4933427E11Rik,0,0,0,0,0,0
ENSMUSG00000044279,Crb3,0,0,0,5,0,0
ENSMUSG00000044285,Gm1821,1611.23,1496.85,1832.13,1895.53,1825.96,1840.62
ENSMUSG00000044286,Olfr221,0,0,0,0,0,0
ENSMUSG00000044287,Nrn1l,2,0,4,1.96,1,1
ENSMUSG00000044288,Cnr1,0,0,0,0,0,0
ENSMUSG00000044292,Olfr978,0,0,0,0,0,0
ENSMUSG00000044293,Olfr794,0,0,0,0,0,0
ENSMUSG00000044294,Krt84,0,0,0,0,0,0
ENSMUSG00000044296,Zfp879,0,0,0,0,0,1
ENSMUSG00000044303,Cdkn2a,0,0,0,0,0,0
ENSMUSG00000044306,4930500M09Rik,0,0,0,0,0,0
ENSMUSG00000044308,Ubr3,6906,5705,6892,7553,6837,5690
ENSMUSG00000044309,Apol7c,0,0,0,0,0,0
ENSMUSG00000044312,Neurog3,0,0,0,0,0,0
ENSMUSG00000044313,Mab21l3,0,0,0,42,35,43
ENSMUSG00000044317,Gpr4,0,2,0,3,6,5
ENSMUSG00000044320,1700001O22Rik,3,5,0,1,0,1
ENSMUSG00000044322,Dsc1,0,0,0,0,0,0
ENSMUSG00000044328,Trp53i13,684,690,844,479,530,517
ENSMUSG00000044330,Gm9790,0,0,0,0,0,0
ENSMUSG00000044337,Ackr3,11,12,31,33,57,18
ENSMUSG00000044338,Aplnr,0,0,0,0,0,0
ENSMUSG00000044339,Alkbh2,511.2,437.07,522.69,452.19,521.57,484.49
ENSMUSG00000044340,Phlpp1,3775,2973,3669,2438,2544,2303
ENSMUSG00000044345,Marveld1,1830,1717,2004,2050,1946,1978
ENSMUSG00000044348,Slc25a53,159,140,162,163,159,145
ENSMUSG00000044349,Snhg11,3.16,2,2,7.01,0,1
ENSMUSG00000044350,Lacc1,1166.38,1035,1316,1453,1470,1382
ENSMUSG00000044352,Sowaha,0,0,0,0,0,1
ENSMUSG00000044359,P2ry4,0,12,0,4,2,3
ENSMUSG00000044361,BC024139,0,4,0,2,9,9
ENSMUSG00000044362,Ccdc89,0,0,0,0,0,0
ENSMUSG00000044364,Tmem74b,0,0,0,0,0,0
ENSMUSG00000044365,Cxxc4,72.64,70.1,66,145,102,129.63
ENSMUSG00000044367,Slc16a13,388,384,456,474,516,352
ENSMUSG00000044375,BC027072,0,0,0,0,3,2
ENSMUSG00000044377,Gm13080,0,0,0,6.29,0,0
ENSMUSG00000044378,Slc15a5,0,0,0,0,0,0
ENSMUSG00000044387,2410080I02Rik,14,3,5,4,0,7
ENSMUSG00000044390,Tigd3,54.01,29,61,26.91,42,48
ENSMUSG00000044393,Dsg2,0,0,0,4,3,8
ENSMUSG00000044400,Sowahd,0,0,0,0,0,0
ENSMUSG00000044405,Adig,0,0,0,0,0,0
ENSMUSG00000044408,Sptssa,2912,2673,3499,2953,2279,2246
ENSMUSG00000044424,Gm9493,1.39,5.33,0,0,0,0
ENSMUSG00000044429,Cryga,0,0,0,0,5,0
ENSMUSG00000044430,Klk12,0,0,0,0,0,0
ENSMUSG00000044433,Camsap3,5,7.13,0,139.73,129.96,121.44
ENSMUSG00000044434,Gm9791,0,0,0,0,0,0
ENSMUSG00000044441,Olfr1442,0,0,0,0,0,0
ENSMUSG00000044442,N6amt1,1661,1607,1739.01,1491,1411,1369
ENSMUSG00000044444,Pfn3,0,0,0,0,0,0
ENSMUSG00000044447,Dock5,2654,2157,2629,1832,1772,1556
ENSMUSG00000044452,Zfp507,3654.71,3123.41,3709.64,3323.07,2985.86,2936.91
ENSMUSG00000044453,Ffar1,0,0,0,1,0,0
ENSMUSG00000044454,Olfr867,0,0,0,0,0,0
ENSMUSG00000044456,Rin3,1814,1632,1963,1894,1932,1875
ENSMUSG00000044457,Stk-ps2,0,0,0,0,0,0
ENSMUSG00000044461,Shisa2,0,0,3,12,6,12
ENSMUSG00000044465,Fam160a2,1745,1530,1759,1653,1590,1761
ENSMUSG00000044468,Fam46c,26,29,27,86,51,67
ENSMUSG00000044469,Tnfaip8l1,256,273,462,387,412,345
ENSMUSG00000044471,Lincpint,4,8,7,5,4,4
ENSMUSG00000044475,Ascc1,1309,1037,1259,850,829,832
ENSMUSG00000044477,Zfand3,3220,3215,3809,3663,3461,3280
ENSMUSG00000044485,Klk1b11,0,0,0,0,0,0
ENSMUSG00000044487,Olfr1112,0,0,0,0,0,0
ENSMUSG00000044496,2510039O18Rik,2527,2733,3198,2464,2748,2633
ENSMUSG00000044499,Hs3st5,10,11,12,8,8,12
ENSMUSG00000044501,Zfp758,664,633,811,989,680.86,762.69
ENSMUSG00000044502,Bod1,2550,2244,2791,2433,2393,2203
ENSMUSG00000044505,Lingo4,0,0,0,4,0,0
ENSMUSG00000044515,Gm8385,0,0,0,0,0,0
ENSMUSG00000044518,Foxe3,0,0,0,0,0,0
ENSMUSG00000044519,Zfp488,1222.15,1174.06,1126.76,1774.53,1206.55,1252.43
ENSMUSG00000044522,A730020M07Rik,0,0,0,0,0,0
ENSMUSG00000044526,Znrf4,0,0,0,0,0,0
ENSMUSG00000044528,Tram1l1,367,357,454,442,472,397
ENSMUSG00000044533,Rps2,94258.72,81882.8,101691.18,81597.36,87151.63,79423.75
ENSMUSG00000044534,Ackr2,0,2,0,1,0,2
ENSMUSG00000044537,Olfr779,0,0,0,0,0,0
ENSMUSG00000044538,Obox3-ps8,0,0,0,0,0,0
ENSMUSG00000044542,Prop1,0,0,0,0,0,0
ENSMUSG00000044544,4921513I03Rik,7,0,0,0,0,1
ENSMUSG00000044548,Dact1,176,121,165,188,130,162
ENSMUSG00000044550,Tceal3,0,0,0,2,3,6
ENSMUSG00000044551,9930012K11Rik,407,414,486,311,304,252
ENSMUSG00000044556,Tex38,1,0,6,4,3,2
ENSMUSG00000044560,Olfr1302,0,0,0,0,0,0
ENSMUSG00000044562,Rasip1,38,47,19,44,51,32.75
ENSMUSG00000044566,Cage1,38.01,16,32,58,30,54
ENSMUSG00000044573,Acp1,5197,4572,5875.12,5398.96,5117,4633
ENSMUSG00000044574,5031434C07Rik,0,0,0,0,0,0
ENSMUSG00000044576,Gareml,291,387,391.37,648,673.83,590.97
ENSMUSG00000044581,4932415D10Rik,3,3,0,3,2,1
ENSMUSG00000044583,Tlr7,17,11,9,9,12,15
ENSMUSG00000044594,Serpinb3a,0,0,0,0,0,0
ENSMUSG00000044595,Dnd1,24,25,21,42,50,46
ENSMUSG00000044597,Mycs,0,0,0,0,0,0
ENSMUSG00000044600,Smim7,2786,2701,3671,3311,2554,2555
ENSMUSG00000044609,Gm9294,0,0,1,1,2,0
ENSMUSG00000044617,Zbtb39,1447,1415,1528,1455,1281,1164
